kabko,lat,long
KAB. DHARMASRAYA,-1.1121,101.6158
KAB. KEPULAUAN MENTAWAI,-1.426,98.9245
KAB. LIMA PULUH KOTA,0.0734,100.5296
KAB. PADANG PARIAMAN,-0.5547,100.2152
KAB. PASAMAN,0.2209,100.1703
KAB. PASAMAN BARAT,0.2213,99.6341
KAB. PESISIR SELATAN,-1.7223,100.8903
KAB. SIJUNJUNG,-0.6647,101.0712
KAB. SOLOK,-0.9644,100.8903
KAB. SOLOK SELATAN,-1.4157,101.2524
KAB. TANAH DATAR,-0.4797,100.5746
KOTA BUKITTINGGI,-0.3039,100.3835
KOTA PADANG,-0.9471,100.4172
KOTA PADANGPANJANG,-0.4661,100.3984
KOTA PARIAMAN,-0.6257,100.1233
KOTA PAYAKUMBUH,-0.2298,100.6309
KOTA SAWAHLUNTO,-0.6841,100.7323
KOTA SOLOK,-0.7885,100.655
KAB. BENGKALIS,1.4139,101.6158
KAB. INDRAGIRI HILIR,-0.1457,102.9896
KAB. INDRAGIRI HULU,-0.7361,102.2548
KAB. KAMPAR,0.1467,101.1617
KAB. KEPULAUAN MERANTI,0.9209,102.6676
KAB. KUANTAN SINGINGI,-0.4412,101.5248
KAB. PELALAWAN,0.1461,102.2548
KAB. ROKAN HILIR,1.6464,100.8
KAB. ROKAN HULU,1.0411,100.4397
KAB. SIAK,0.8119,101.798
KOTA DUMAI,1.6666,101.4002
KOTA PEKANBARU,0.5071,101.4478
KAB. BINTAN,1.0619,104.5189
KAB. KARIMUN,0.7698,103.4049
KAB. KEPULAUAN ANAMBAS,3.1055,105.6537
KAB. LINGGA,-0.4726,104.4258
KAB. NATUNA,4,108.25
KOTA BATAM,1.1301,104.0529
KOTA TANJUNG PINANG,0.9186,104.4665
PULAU TAMBELAN KAB. BINTAN,1.1216,107.3259
PEKAJANG KAB. LINGGA,-0.0752,104.6305
PULAU SERASAN KAB. NATUNA,2.5179,109.0513
PULAU MIDAI KAB. NATUNA,2.9979,107.7755
PULAU LAUT KAB. NATUNA,4.7103,107.971
KAB. BATANGHARI,-1.7084,103.0818
KAB. BUNGO,-1.6401,101.8892
KAB. KERINCI,-1.872,101.4339
KAB. MERANGIN,-2.1753,101.9805
KAB. MUARO JAMBI,-1.5521,103.8216
KAB. SAROLANGUN,-2.323,102.7135
KAB. TANJUNG JABUNG BARAT,-1.1058,103.0818
KAB. TANJUNG JABUNG TIMUR,-1.1024,103.8216
KAB. TEBO,-1.2593,102.3464
KOTA JAMBI,-1.6101,103.6131
KOTA SUNGAI PENUH,-2.0634,101.3947
KAB. BENGKULU SELATAN,-4.3248,103.0357
KAB. BENGKULU TENGAH,-3.6962,102.3922
KAB. BENGKULU UTARA,-3.2663,101.9805
KAB. KAUR,-4.5216,103.2663
KAB. KEPAHIANG,-3.613,102.6676
KAB. LEBONG,-3.1455,102.209
KAB. MUKOMUKO,-2.6449,101.4339
KAB. REJANG LEBONG,-3.4548,102.6676
KAB. SELUMA,-4.0499,102.7135
KOTA BENGKULU,-3.7928,102.2608
KAB. BANYUASIN,-2.6096,104.7521
KAB. EMPAT LAWANG,-3.7286,102.8975
KAB. LAHAT,-3.8009,103.3587
KAB. MUARA ENIM,-3.7114,104.0072
KAB. MUSI BANYUASIN,-2.5442,103.7289
KAB. MUSI RAWAS,-3.0957,103.0818
KAB. MUSI RAWAS UTARA,-2.7878,102.7135
KAB. OGAN ILIR,-3.4265,104.6121
KAB. OGAN KOMERING ILIR,-3.456,105.2195
KAB. OGAN KOMERING ULU,-4.0283,104.0072
KAB. OGAN KOMERING ULU SELATAN,-4.6682,104.0072
KAB. OGAN KOMERING ULU TIMUR,-3.8568,104.7521
KAB. PENUKAL ABAB LEMATANG ILIR,-3.2398,104.0072
KOTA LUBUKLINGGAU,-3.2996,102.8572
KOTA PAGAR ALAM,-4.042,103.2279
KOTA PALEMBANG,-2.9761,104.7754
KOTA PRABUMULIH,-3.4214,104.2437
KAB. BANGKA,-1.8743,105.923
KAB. BANGKA BARAT,-1.8405,105.5005
KAB. BANGKA SELATAN,-2.7411,106.4406
KAB. BANGKA TENGAH,-2.4008,106.2051
KAB. BELITUNG,-2.7217,107.7636
KAB. BELITUNG TIMUR,-2.8678,108.1429
KOTA PANGKAL PINANG,-2.1316,106.1169
KAB. LAMPUNG TENGAH,-4.8008,105.3131
KAB. LAMPUNG UTARA,-4.8134,104.7521
KAB. LAMPUNG SELATAN,-5.5623,105.5474
KAB. LAMPUNG BARAT,-5.1095,104.1466
KAB. LAMPUNG TIMUR,-5.1135,105.6882
KAB. MESUJI,-4.0045,105.3131
KAB. PESAWARAN,-5.4932,105.0791
KAB. PESISIR BARAT,-5.2928,104.1234
KAB. PRINGSEWU,-5.3331,104.9856
KAB. TULANG BAWANG,-4.3177,105.5005
KAB. TULANG BAWANG BARAT,-4.5257,105.0791
KAB. TANGGAMUS,-5.3027,104.5655
KAB. WAY KANAN,-4.4964,104.5655
KOTA BANDAR LAMPUNG,-5.3971,105.2668
KOTA METRO,-5.1178,105.3073
KAB. LEBAK,-6.5644,106.2522
KAB. PANDEGLANG,-6.7483,105.6882
KAB. SERANG,-6.1397,106.0405
KAB. TANGERANG,-6.1872,106.4877
KOTA CILEGON,-6.0025,106.0111
KOTA SERANG,-6.1104,106.164
KOTA TANGERANG,-6.2024,106.6527
KOTA TANGERANG SELATAN,-6.2835,106.7113
KAB. BANDUNG,-7.1341,107.6215
KAB. BANDUNG BARAT,-6.8652,107.492
KAB. BEKASI,-6.2474,107.1485
KAB. BOGOR,-6.5518,106.6291
KAB. CIAMIS,-7.3321,108.3493
KAB. CIANJUR,-7.358,107.1957
KAB. CIREBON,-6.6899,108.4751
KAB. GARUT,-7.5012,107.7636
KAB. INDRAMAYU,-6.3373,108.3258
KAB. KARAWANG,-6.3227,107.3376
KAB. KUNINGAN,-7.0138,108.5701
KAB. MAJALENGKA,-6.7791,108.2852
KAB. PANGANDARAN,-7.6151,108.4988
KAB. PURWAKARTA,-6.5649,107.4322
KAB. SUBANG,-6.3488,107.7636
KAB. SUKABUMI,-6.8649,106.9536
KAB. SUMEDANG,-6.8329,107.9532
KAB. TASIKMALAYA,-7.6513,108.1429
KOTA BANDUNG,-6.9175,107.6191
KOTA BANJAR,-7.3707,108.5342
KOTA BEKASI,-6.2383,106.9756
KOTA BOGOR,-6.5971,106.806
KOTA CIMAHI,-6.8841,107.5413
KOTA CIREBON,-6.732,108.5523
KOTA DEPOK,-6.4025,106.7942
KOTA SUKABUMI,-6.9277,106.93
KOTA TASIKMALAYA,-7.3506,108.2172
KOTA JAKARTA,-6.1751,106.865
KAB. ADMINISTRASI KEPULAUAN SERIBU,-5.6122,106.617
KAB. BANJARNEGARA,-7.3794,109.6163
KAB. BANYUMAS,-7.4832,109.1404
KAB. BATANG,-7.0392,109.9021
KAB. BLORA,-7.0122,111.3799
KAB. BOYOLALI,-7.4318,110.6884
KAB. BREBES,-6.9592,108.9027
KAB. CILACAP,-7.6178,108.9027
KAB. DEMAK,-6.9239,110.6646
KAB. GROBOGAN,-7.1542,110.9507
KAB. JEPARA,-6.5827,110.6787
KAB. KARANGANYAR,-7.6387,111.046
KAB. KEBUMEN,-7.6681,109.6525
KAB. KENDAL,-7.0265,110.1879
KAB. KLATEN,-7.6579,110.6646
KAB. KUDUS,-6.7726,110.8791
KAB. MAGELANG,-7.4305,110.2832
KAB. PATI,-6.745,111.046
KAB. PEKALONGAN,-7.0517,109.6163
KAB. PEMALANG,-7.0599,109.4259
KAB. PURBALINGGA,-7.3059,109.4259
KAB. PURWOREJO,-7.6965,109.9989
KAB. REMBANG,-6.8082,111.4276
KAB. SEMARANG,-7.1765,110.4739
KAB. SRAGEN,-7.4303,111.0092
KAB. SUKOHARJO,-7.6484,110.8553
KAB. TEGAL,-6.8588,109.1048
KAB. TEMANGGUNG,-7.2749,110.0892
KAB. WONOGIRI,-7.8846,111.046
KAB. WONOSOBO,-7.3632,109.9002
KOTA MAGELANG,-7.4797,110.2177
KOTA PEKALONGAN,-6.8898,109.6746
KOTA SALATIGA,-7.3305,110.5084
KOTA SEMARANG,-7.0051,110.4381
KOTA SURAKARTA,-7.5755,110.8243
KOTA TEGAL,-6.8797,109.1256
KAB. BANTUL,-7.919,110.3785
KAB. GUNUNGKIDUL,-8.0305,110.6169
KAB. KULON PROGO,-7.8267,110.1641
KAB. SLEMAN,-7.7325,110.4024
KOTA YOGYAKARTA,-7.7956,110.3695
KAB. BANGKALAN,-7.0384,112.9137
KAB. BANYUWANGI,-8.2191,114.3691
KAB. BLITAR,-8.0955,112.1609
KAB. BOJONEGORO,-7.3175,111.7615
KAB. BONDOWOSO,-7.9674,113.9061
KAB. GRESIK,-7.155,112.5722
KAB. JEMBER,-8.1845,113.6681
KAB. JOMBANG,-7.5741,112.2861
KAB. KEDIRI,-7.8232,112.1907
KAB. LAMONGAN,-7.1269,112.3338
KAB. LUMAJANG,-8.0944,113.1442
KAB. MADIUN,-7.6093,111.6184
KAB. MAGETAN,-7.6433,111.356
KAB. MALANG,-8.2422,112.7152
KAB. MOJOKERTO,-7.4699,112.4351
KAB. NGANJUK,-7.5944,111.9046
KAB. NGAWI,-7.461,111.3322
KAB. PACITAN,-8.1263,111.1414
KAB. PAMEKASAN,-7.1051,113.5252
KAB. PASURUAN,-7.786,112.8582
KAB. PONOROGO,-7.8651,111.4696
KAB. PROBOLINGGO,-7.8718,113.4776
KAB. SAMPANG,-7.0402,113.2394
KAB. SIDOARJO,-7.4726,112.6675
KAB. SITUBONDO,-7.7889,114.1915
KAB. SUMENEP,-6.9254,113.9061
KAB. TRENGGALEK,-8.1824,111.6184
KAB. TUBAN,-6.8955,112.0298
KAB. TULUNGAGUNG,-8.0912,111.9642
KOTA BATU,-7.8831,112.5334
KOTA BLITAR,-8.0955,112.1609
KOTA KEDIRI,-7.848,112.0178
KOTA MADIUN,-7.6311,111.53
KOTA MALANG,-7.9666,112.6326
KOTA MOJOKERTO,-7.4705,112.4401
KOTA PASURUAN,-7.6469,112.8999
KOTA PROBOLINGGO,-7.7764,113.2037
KOTA SURABAYA,-7.2575,112.7521
KAB. BADUNG,-8.5819,115.1771
KAB. BANGLI,-8.2976,115.3549
KAB. BULELENG,-8.2239,114.9517
KAB. GIANYAR,-8.4248,115.2601
KAB. JEMBRANA,-8.3233,114.6668
KAB. KARANGASEM,-8.3466,115.5207
KAB. KLUNGKUNG,-8.7278,115.5444
KAB. TABANAN,-8.4596,115.0466
KOTA DENPASAR,-8.6705,115.2126
KAB. BIMA,-8.4354,118.6265
KAB. DOMPU,-8.5364,118.3462
KAB. LOMBOK BARAT,-8.6465,116.1123
KAB. LOMBOK TENGAH,-8.6946,116.2777
KAB. LOMBOK TIMUR,-8.5134,116.561
KAB. LOMBOK UTARA,-8.3739,116.2777
KAB. SUMBAWA,-8.6529,117.3616
KAB. SUMBAWA BARAT,-8.9293,116.891
KOTA BIMA,-8.4643,118.7449
KOTA MATARAM,-8.577,116.1005
KAB. ALOR,-8.2928,124.5528
KAB. BELU,-9.1539,124.9066
KAB. ENDE,-8.6763,121.7195
KAB. FLORES TIMUR,-8.3131,122.9663
KAB. KUPANG,-9.9906,123.8858
KAB. LEMBATA,-8.4719,123.4832
KAB. MALAKA,-9.5309,124.9066
KAB. MANGGARAI,-8.6797,120.3897
KAB. MANGGARAI BARAT,-8.6688,120.0665
KAB. MANGGARAI TIMUR,-8.6207,120.62
KAB. NGADA,-8.743,120.9876
KAB. NAGEKEO,-8.6754,121.3084
KAB. ROTE NDAO,-10.7386,123.1239
KAB. SABU RAIJUA,-10.5541,121.8335
KAB. SIKKA,-8.6766,122.1292
KAB. SUMBA BARAT,-9.6548,119.3947
KAB. SUMBA BARAT DAYA,-9.5391,119.1391
KAB. SUMBA TENGAH,-9.4879,119.6963
KAB. SUMBA TIMUR,-9.9802,120.3436
KAB. TIMOR TENGAH SELATAN,-9.7763,124.4198
KAB. TIMOR TENGAH UTARA,-9.4523,124.5971
KOTA KUPANG,-10.1772,123.607
KAB. BENGKAYANG,1.0691,109.6639
KAB. KAPUAS HULU,0.8337,113.0012
KAB. KAYONG UTARA,-0.9226,110.045
KAB. KETAPANG,-1.5698,110.5215
KAB. KUBU RAYA,-0.3534,109.4735
KAB. LANDAK,0.4237,109.7592
KAB. MELAWI,-0.7001,111.6661
KAB. MEMPAWAH,0.3897,109.1404
KAB. SAMBAS,1.3625,109.2832
KAB. SANGGAU,0.14,110.5215
KAB. SEKADAU,-0.0697,110.9984
KAB. SINTANG,-0.1378,112.8106
KOTA PONTIANAK,-0.0263,109.3425
KOTA SINGKAWANG,0.906,108.9872
KAB. BALANGAN,-2.326,115.6155
KAB. BANJAR,-3.32,114.9991
KAB. BARITO KUALA,-3.0715,114.6668
KAB. HULU SUNGAI SELATAN,-2.7663,115.2363
KAB. HULU SUNGAI TENGAH,-2.6153,115.5207
KAB. HULU SUNGAI UTARA,-2.4421,115.1889
KAB. KOTABARU,-3.003,115.9468
KAB. TABALONG,-1.8643,115.5681
KAB. TANAH BUMBU,-3.4512,115.5681
KAB. TANAH LAUT,-3.7694,114.8093
KAB. TAPIN,-2.9161,115.0466
KOTA BANJARBARU,-3.4572,114.8103
KOTA BANJARMASIN,-3.3186,114.5944
KAB. BARITO SELATAN,-1.8759,114.8093
KAB. BARITO TIMUR,-2.0124,115.1889
KAB. BARITO UTARA,-0.9587,115.094
KAB. GUNUNG MAS,-1.2522,113.5729
KAB. KAPUAS,-1.8116,114.3341
KAB. KATINGAN,-0.9758,112.8106
KAB. KOTAWARINGIN BARAT,-2.5063,111.7615
KAB. KOTAWARINGIN TIMUR,-2.1225,112.8106
KAB. LAMANDAU,-1.8526,111.2845
KAB. MURUNG RAYA,-0.1362,114.3341
KAB. PULANG PISAU,-2.685,113.9536
KAB. SUKAMARA,-2.6268,111.2368
KAB. SERUYAN,-3.0123,112.4291
KOTA PALANGKARAYA,-2.2161,113.914
KAB. BERAU,2.0451,117.3616
KAB. KUTAI BARAT,-0.4052,115.8522
KAB. KUTAI KARTANEGARA,-0.1337,116.6082
KAB. KUTAI TIMUR,0.9434,116.9852
KAB. MAHAKAM ULU,0.9617,114.7143
KAB. PASER,-1.7175,115.9468
KAB. PENAJAM PASER UTARA,-1.2917,116.5138
KOTA BALIKPAPAN,-1.2379,116.8529
KOTA BONTANG,0.1209,117.48
KOTA SAMARINDA,-0.4948,117.1436
KAB. BULUNGAN,2.9042,116.9852
KAB. MALINAU,3.0731,116.0414
KAB. NUNUKAN,4.081,116.6082
KAB. TANA TIDUNG,3.5519,117.0794
KOTA TARAKAN,3.3274,117.5785
KAB. BOALEMO,0.7013,122.2654
KAB. BONE BOLANGO,0.5658,123.3486
KAB. GORONTALO,0.5693,122.8084
KAB. GORONTALO UTARA,0.9253,122.492
KAB. POHUWATO,0.7055,121.7195
KOTA GORONTALO,0.5435,123.0568
KAB. BANTAENG,-5.5169,120.0203
KAB. BARRU,-4.4364,119.6499
KAB. BONE,-4.7443,120.0665
KAB. BULUKUMBA,-5.4329,120.2051
KAB. ENREKANG,-3.4591,119.8815
KAB. GOWA,-5.3103,119.7426
KAB. JENEPONTO,-5.5546,119.6731
KAB. KEPULAUAN SELAYAR,-6.287,120.5049
KAB. LUWU,-3.3052,120.2513
KAB. LUWU TIMUR,-2.5826,121.171
KAB. LUWU UTARA,-2.269,119.9741
KAB. MAROS,-5.0549,119.6963
KAB. PANGKAJENE DAN KEPULAUAN,-4.805,119.5572
KAB. PINRANG,-3.6483,119.5572
KAB. SIDENRENG RAPPANG,-3.7739,120.0203
KAB. SINJAI,-5.2172,120.1127
KAB. SOPPENG,-4.3519,119.9278
KAB. TAKALAR,-5.4162,119.4876
KAB. TANA TORAJA,-3.0753,119.7426
KAB. TORAJA UTARA,-2.8622,119.8352
KAB. WAJO,-4.0222,120.0665
KOTA MAKASSAR,-5.1477,119.4327
KOTA PALOPO,-3.0016,120.1985
KOTA PAREPARE,-4.0096,119.6291
KAB. BOMBANA,-4.6543,121.9018
KAB. BUTON,-5.3096,122.9888
KAB. BUTON SELATAN,-5.3096,122.9888
KAB. BUTON TENGAH,-5.3891,122.5599
KAB. BUTON UTARA,-4.7023,123.0339
KAB. KOLAKA,-3.9947,121.5827
KAB. KOLAKA TIMUR,-4.2279,121.9018
KAB. KOLAKA UTARA,-3.1347,121.171
KAB. KONAWE,-3.938,122.0837
KAB. KONAWE KEPULAUAN,-4.1361,123.1239
KAB. KONAWE SELATAN,-4.2028,122.4467
KAB. KONAWE UTARA,-3.3803,122.0837
KAB. MUNA,-4.9016,122.6277
KAB. MUNA BARAT,-4.9016,122.6277
KAB. WAKATOBI,-5.6504,123.8902
KOTA BAU-BAU,-5.5071,122.5969
KOTA KENDARI,-3.9985,122.513
KAB. BANGGAI,-0.9562,122.6277
KAB. BANGGAI KEPULAUAN,-0.9562,122.6277
KAB. BANGGAI LAUT,-1.6735,123.5504
KAB. BUOL,0.9695,121.3542
KAB. DONGGALA,-0.4233,119.8352
KAB. MOROWALI,-2.6987,121.9018
KAB. MOROWALI UTARA,-1.6312,121.3542
KAB. PARIGI MOUTONG,0.5818,120.8039
KAB. POSO,-1.6469,120.4358
KAB. SIGI,-1.386,119.8815
KAB. TOJO UNA-UNA,-1.0988,121.537
KAB. TOLI-TOLI,0.8768,120.758
KOTA PALU,-0.9003,119.878
KAB. BOLAANG MONGONDOW,0.6871,124.0641
KAB. BOLAANG MONGONDOW SELATAN,0.4053,123.8411
KAB. BOLAANG MONGONDOW TIMUR,0.7153,124.4642
KAB. BOLAANG MONGONDOW UTARA,0.907,123.2657
KAB. KEPULAUAN SANGIHE,3.6329,125.5001
KAB. KEPULAUAN SIAU TAGULANDANG BIARO,2.346,125.4124
KAB. KEPULAUAN TALAUD,4.3067,126.8035
KAB. MINAHASA,1.2169,124.8183
KAB. MINAHASA SELATAN,1.0947,124.4642
KAB. MINAHASA TENGGARA,1.0279,124.7299
KAB. MINAHASA UTARA,1.5328,124.9948
KOTA BITUNG,1.4404,125.1217
KOTA KOTAMOBAGU,0.7244,124.3199
KOTA MANADO,1.4748,124.8421
KOTA TOMOHON,1.3229,124.8405
KAB. MAJENE,-3.0297,118.9063
KAB. MAMASA,-2.9118,119.325
KAB. MAMUJU,-2.492,119.325
KAB. MAMUJU TENGAH,-1.9354,119.5108
KAB. MAMUJU UTARA,-1.5265,119.5108
KAB. POLEWALI MANDAR,-3.3419,119.1391
KAB. BURU,-3.3307,126.6957
KAB. BURU SELATAN,-3.7274,126.6957
KAB. KEPULAUAN ARU,-6.1947,134.5502
KAB. MALUKU BARAT DAYA,-7.7852,126.3498
KAB. MALUKU TENGAH,-3.0167,129.4864
KAB. MALUKU TENGGARA,-5.7512,132.7272
KAB. MALUKU TENGGARA BARAT,-7.5323,131.3611
KAB. SERAM BAGIAN BARAT,-3.1272,128.4008
KAB. SERAM BAGIAN TIMUR,-3.4233,130.2271
KOTA AMBON,-3.6554,128.1908
KOTA TUAL,-5.6266,132.7521
KAB. HALMAHERA BARAT,1.359,127.5961
KAB. HALMAHERA TENGAH,0.442,128.3587
KAB. HALMAHERA UTARA,1.5074,127.8937
KAB. HALMAHERA SELATAN,-1.5109,127.7238
KAB. KEPULAUAN SULA,-1.8456,125.3431
KAB. HALMAHERA TIMUR,1.3121,128.485
KAB. PULAU MOROTAI,2.3657,128.4008
KAB. PULAU TALIABU,-1.8268,124.7741
KOTA TERNATE,0.771,127.3695
KOTA TIDORE KEPULAUAN,0.674,127.4041
KAB. ASMAT,-5.0574,138.3988
KAB. BIAK NUMFOR,-1.0381,135.9801
KAB. BOVEN DIGOEL,-5.74,140.3482
KAB. DEIYAI,-4.0975,136.4393
KAB. DOGIYAI,-4.0454,135.6763
KAB. INTAN JAYA,-3.5076,136.7478
KAB. JAYAPURA,-2.9879,139.8547
KAB. JAYAWIJAYA,-4.0004,138.7995
KAB. KEEROM,-3.345,140.7624
KAB. KEPULAUAN YAPEN,-1.7469,136.1709
KAB. LANNY JAYA,-3.971,138.319
KAB. MAMBERAMO RAYA,-2.5331,137.7638
KAB. MAMBERAMO TENGAH,-2.3746,138.319
KAB. MAPPI,-6.7606,139.6911
KAB. MERAUKE,-7.7838,139.0413
KAB. MIMIKA,-4.4553,137.1362
KAB. NABIRE,-3.5095,135.7521
KAB. NDUGA,-4.4069,138.2394
KAB. PANIAI,-3.7876,136.3625
KAB. PEGUNUNGAN BINTANG,-4.559,140.5136
KAB. PUNCAK,-3.8649,137.6062
KAB. PUNCAK JAYA,-3.4468,137.8427
KAB. SARMI,-2.4678,139.2031
KAB. SUPIORI,-0.7295,135.6385
KAB. TOLIKARA,-3.4811,138.4787
KAB. WAROPEN,-1.7469,136.1709
KAB. YAHUKIMO,-4.494,139.528
KAB. YALIMO,-3.7853,139.4466
KOTA JAYAPURA,-2.5916,140.669
KAB. YAPEN WAROPEN,-1.7469,136.1709
KAB. FAKFAK,-3.0977,133.0195
KAB. KAIMANA,-3.2884,133.9437
KAB. MANOKWARI,-0.999,133.0195
KAB. MANOKWARI SELATAN,-0.999,133.0195
KAB. MAYBRAT,-1.2971,132.3151
KAB. PEGUNUNGAN ARFAK,-1.1555,133.7142
KAB. RAJA AMPAT,-1.0915,130.8779
KAB. SORONG,-1.1223,131.4883
KAB. SORONG SELATAN,-1.7658,132.1573
KAB. TAMBRAUW,-0.7819,132.3938
KAB. TELUK BINTUNI,-1.9057,133.3295
KAB. TELUK WONDAMA,-2.8552,134.3237
KOTA SORONG,-0.8762,131.2558
